Research Phase 1 Log
====================
Format: TIMESTAMP | DOMAIN_ID | PAPERS_FOUND | NOTES
2026-03-07T01:12 | half_marathon_training | 8 papers found | Prediction models review (Alvero-Cruz 2020), HM predictors (Gomez-Molina, Nikolaidis, Rüst), Cooper vs lab (Alvero-Cruz 2019), HM participation review, 10K pacing (Lima-Silva), 208K pacing analysis (Ristanović)
2026-03-07T16:01 | biomechanics_form | 10 papers found | 7 meta-analyses/SRs, cadence (Heiderscheit, Anderson), footstrike (Anderson, Burke), leg stiffness (Liu), economy correlates (Folland, Moore, Van Hooren), injury risk (Peterson, Vannatta)
2026-03-07T16:02 | hrv_monitoring | 8 papers found | 3 meta-analyses (Manresa-Rocamora, Granero-Gallegos, Bellenger), 3 RCTs (Kiviniemi, Vesterinen, Carrasco-Poyatos), smartphone validation (Plews 2017), practical review (Lundstrom 2023)
2026-03-07T16:03 | overtraining_recovery | 10 papers found | 2 SRs (Carrard, Weakley), session-RPE (Foster 1998), EROS study (Cadegiani), stress-recovery instruments (Kellmann), hormonal discriminant (Buyse), prospective overtraining (Lehmann 1991)
2026-03-07T16:04 | detraining | 8 papers found | 1 meta-analysis (Zheng 2022), 1 SR (Barbieri 2024), foundational timeline (Coyle 1984), reduced frequency (Hickson 1981/1985), minimum dose (Spiering 2021), masters retraining (Lepers 2024)
2026-03-07T16:05 | sleep_recovery | 10 papers found | 2 meta-analyses (Lopes, Craven), 3 SRs (Cunha, Lastella, Watson), injury risk cohort (Johnston), running-specific RCT (Souissi), sleep extension (Mah 2011)
2026-03-07T16:06 | nutrition_general | 10 papers found | 4 meta-analyses (Gallant RED-S, Lin protein, Wang caffeine, Gejl CHO periodization), 1 SR (Dominguez nitrate), dietary surveys (Tanous, Beermann), reviews (Jeukendrup, Hinton, Vitale)
2026-03-07T16:07 | carbohydrate_fueling | 10 papers found | 1 SR (Stellingwerff), 1 meta-analysis (Gejl), gut training RCT (Costa), glucose-fructose (Jentjens), hydrogel (Rowe), CHO periodization (Impey), guidelines (Jeukendrup, Burke, Cermak, Rowlands)
2026-03-07T16:08 | protein_runners | 8 papers found | 2 meta-analyses (Lin, Lim plant vs animal), dose-response RCT (Churchward-Venne), IAAO requirements (Kato), ISSN position (Jager), endurance-specific reviews (Witard, Cintineo, Knuiman)
2026-03-07T16:09 | hydration | 8 papers found | 1 meta-analysis (Goulet), 1 SR (Deshayes), Boston Marathon cohort (Almond NEJM), EAH consensus (Hew-Butler), drink-to-thirst (Kenefick), sweat variability (Baker), sodium ultramarathon (Lipman)
2026-03-07T16:10 | supplements | 14 papers found | 8 meta-analyses, 4 SRs, 1 ISSN position, 1 RCT. Covers caffeine (3), nitrates (2), iron (3), vitamin D (2), beta-alanine (2), sodium bicarbonate (1), creatine (1)
2026-03-07T17:01 | training_zones_systems | 12 papers found | 2 meta-analyses (Rosenblat, Oliveira), 2 RCTs, Seiler foundational, Sitko 2025 consensus, practitioner survey (Seiler-Viken 2025)
2026-03-07T17:02 | genetics_individual_response | 10 papers found | 2 meta-analyses (Ma 2013, Elouali 2024), HERITAGE foundational (Bouchard 1999/2011), non-responder dose RCT (Montero 2017), marathon genetics SR (Moir 2019)
2026-03-07T17:03 | foam_rolling_mobility | 8 papers found | 3 meta-analyses (Wiewelhove, Skinner, Warneke), 2 SRs (Cheatham, Behm), 2 RCTs, foundational flexibility-economy (Craib 1996)
2026-03-07T17:04 | shoe_technology | 10 papers found | 2 meta-analyses (Kobayashi, Fuller 2015), 2 SRs (Ruiz-Alias, Sun), 4 RCTs incl Vaporfly studies (Hoogkamer, Barnes, Hebert-Losier), Senefeld population analysis
2026-03-07T17:05 | concurrent_training | 10 papers found | 4 meta-analyses/SRs (Huiberts, Gao, Denadai, Wilson), Hickson 1980 foundational, molecular reviews (Coffey, Fyfe), 3 running-specific RCTs
2026-03-07T17:06 | body_composition | 8 papers found | No meta-analysis available. Large cross-sectional (Herrmann n=3124), marathon predictors (Tanda, Barandun, Knechtle), DXA segments (Ueno), 2 reviews (Alvero-Cruz, Knechtle 2014)
2026-03-07T18:01 | ultramarathon | 11 papers found | 4 SRs (Hoffman, Garbisu-Hualde, Kelly, Viljoen), ISSN nutrition consensus (Tiller), flush model (Millet), trail determinants (Coates), long-term health (Scheer), physiology review (Knechtle)
2026-03-07T18:02 | tendon_health | 13 papers found | 2 meta-analyses (Bohm, Maetz), 2 SRs (Malliaras, Escriche-Escuder), foundational Alfredson 1998, HSR RCTs (Beyer, Kongsgaard), pain-monitoring RCT (Silbernagel), collagen review (Kjaer), dosage RCT (Stevens), Alfredson vs Silbernagel RCT (Habets)
2026-03-07T18:03 | iron_bone_health | 12 papers found | 2 meta-analyses (Burden IDNA, Šmid oral iron), 2 SRs (Rubeor, Gartner footstrike), consensus (Clénin), iron reviews (Sim, Peeling, Solberg), footstrike hemolysis (Telford), bone health (Goolsby), vitamin D (Knechtle, Lappe RCT n=5201)
2026-03-07T19:01 | half_marathon_training | 14 papers (rerun +6) | Added training physiology: Williams 1983 HM at 79% VO2max, Del Coso 2017 HM vs marathon, Damasceno 2015 10K energy systems, 2 intensity distribution RCTs (Esteve-Lanao, Munoz), Seiler 2010 best practice review
2026-03-07T19:02 | injury_foot | 12 papers (rerun +6) | Added non-PF conditions: Kakouris 2021 epidemiology SR, Matthews 2019 Morton's neuroma SR+MA, Attia 2021 navicular fracture SR+MA, Bonanno 2017 orthoses SR+MA, Espinosa 2015 PTTD, Murawski 2024 hallux rigidus
2026-03-07T19:03 | warmup_cooldown | 13 papers (rerun +7) | Added: Boullosa 2018 PAP review, Vasconcelos 2024 PAPE meta, Simic 2013 static stretch meta, McGowan 2015 mechanisms review, Menzies 2010 lactate clearance, Alves 2023 5000m warmup RCT, Barnes 2015 weighted vest strides
